date,Y_M5567876,Y_M5567876_std,Y_lag1_M5567876,Y_lag2_M5567876,Y_lag3_M5567876,Y_lag4_M5567876,Y_M5567876_reg_1234,Y_M5567876_reg_234,Y_M5567876_reg_34,Y_M5567876_reg_4,Y_M5567876_merged,prob_trans
2015-09-30,6.613793513315525,-1.0786186148401324,-0.881241895715415,-0.9209110482610712,-0.6102670532326214,-0.5778098493986566,7.4486272905650655,7.2590222753919855,8.272295901418381,8.286455901995911,7.4486272905650655,0.8076704622588877
2015-12-31,6.399068096340366,-1.1314610847846092,-0.9357000298767547,-0.8808513839433805,-0.687922838265939,-0.6436779123459686,7.120080923055927,7.341633508973656,7.97652014766327,7.995962139378506,7.120080923055927,0.8295466700910661
2016-03-31,6.888397795925205,-1.011040361856205,-0.9783662765463063,-0.9544643586044935,-0.6990825664742286,-0.5992719095682899,7.205566935945463,7.201561216076553,8.154488749339238,8.191803132000459,7.205566935945463,0.8240092134576901
2016-06-30,7.150698885179119,-0.9464898413795958,-0.8843267528718397,-0.9612303402344821,-0.69860181225256,-0.497930748206243,7.918598352888866,7.404896130759031,8.569396676072849,8.638741662675438,7.918598352888866,0.7731079242528519
2016-09-30,7.698240879889973,-0.8117434671196992,-0.8482691570614324,-0.8110070730072882,-0.7640304073075477,-0.4639043022913265,8.159763723484328,8.075333626731688,8.68657234340756,8.788806350477604,8.159763723484328,0.754183081720566
2016-12-31,9.47022962558055,-0.37566904539934065,-0.7705811187808064,-0.7822240563468333,-0.7045963459927385,-0.40394456063522727,8.525717330913453,8.237739318072391,8.952018677830322,9.053243016440902,8.525717330913453,0.7241340827778333
2017-03-31,11.453320022141146,0.11235606198492692,-0.6340094397704104,-0.5872236616330537,-0.6152659352087887,-0.2983829054809972,9.069441829746705,9.037789891879102,9.414182979924362,9.518794924630495,9.069441829746705,0.6760858495236621
2017-06-30,10.728952343996244,-0.06590591463775912,-0.21363116790388145,-0.426985012965933,-0.6269972091364645,-0.3145174389293872,10.447428661714705,9.566159830321425,9.344192386742169,9.447637809637628,10.447428661714705,0.5424040746673671
2017-09-30,10.820090674012972,-0.04347738925617434,-0.24488201460357212,-0.32090457763368757,-0.6238952755027956,-0.30148260838690155,10.278389132717265,9.956146000535686,9.398585125548315,9.505124500454631,10.278389132717265,0.559173013527482
2017-12-31,10.707118257724035,-0.07127913530188662,-0.2526849970099331,-0.3626413663711123,-0.7038564780855384,-0.3657203971299402,10.20499488351956,9.764126962789234,9.108703381954548,9.221820633311703,10.20499488351956,0.5666693735671671
2018-03-31,10.321209074075522,-0.1662487701290633,-0.33166986965364115,-0.2856236290012311,-0.6868969247176545,-0.47763855177035447,9.415890118514419,9.757652520297878,8.656393887130019,8.728235056448806,9.415890118514419,0.6437722484034101
2018-06-30,10.100322425491193,-0.22060747741849396,-0.3071330051181565,-0.377032462953897,-0.729750162955134,-0.6029149460803727,9.2213737210478,9.213896991123447,8.129230108670068,8.175736477898393,9.2213737210478,0.6619753415854999
2018-09-30,9.375186167842497,-0.399058596248476,-0.3359954719443788,-0.6100738880369537,-0.8143804656853612,-0.643780488273138,9.331104041933685,8.422555733612622,7.933425233954515,7.995509755238087,9.331104041933685,0.6517994080064664
2018-12-31,9.145552595449091,-0.4555698622102747,-0.3977815301429873,-0.6019211922940242,-0.8992957523757296,-0.7742391895630506,8.78763876993208,8.25942108071158,7.370858007356754,7.4201559751489246,8.78763876993208,0.7014477150768157
2019-03-31,,,-0.5067213829239571,-0.719001954423883,-0.9560967038218007,-0.7918169377561214,8.529943596893714,7.885502486515751,7.279751487040748,7.342633941215258,8.529943596893714,0.7235556988345478
2019-06-30,,,,-0.8647041116823415,-1.0163211621751282,-0.7946725682496887,,7.45032976532324,7.247740932021869,7.3300399342018,7.45032976532324,0.8074339063033725
2019-09-30,,,,,-1.1110134184637317,-0.7809955978911174,,,7.271759485290666,7.390358613739198,7.271759485290666,0.8197254408057031
2019-12-31,,,,,,-0.8077071656447035,,,,7.272554271620381,7.272554271620381,0.8194981810263994
