,date,up,keep,down,predindex,hs300
109,2012-02-10 00:00:00,2673,1879,5684,-0.360296757209525,2533.62
110,2012-02-17 00:00:00,2757,1945,5631,-0.3426323319027182,2537.09
111,2012-02-24 00:00:00,3340,2199,6714,-0.3355878257409986,2648.02
112,2012-03-02 00:00:00,4232,2380,8111,-0.31426719598152797,2679.93
113,2012-03-09 00:00:00,4281,2315,7660,-0.2829746252407671,2664.3
114,2012-03-16 00:00:00,4448,2116,7817,-0.27468406033428455,2623.52
115,2012-03-23 00:00:00,4606,2021,8121,-0.27618448966763576,2552.94
116,2012-03-30 00:00:00,4627,1957,8749,-0.3081638755980861,2454.9
117,2012-04-06 00:00:00,4397,1672,8702,-0.3286510420642797,2519.83
118,2012-04-13 00:00:00,4442,1764,8998,-0.33898809523809526,2580.45
119,2012-04-20 00:00:00,4260,2486,8789,-0.3470764043221703,2626.84
120,2012-04-27 00:00:00,4732,5231,9271,-0.324144826108691,2626.16
121,2012-05-04 00:00:00,4909,6194,9365,-0.31217598430713184,2715.88
122,2012-05-11 00:00:00,4394,6160,8319,-0.3087390859749862,2636.92
123,2012-05-18 00:00:00,4102,5771,7598,-0.2988034188034188,2573.98
124,2012-05-25 00:00:00,3098,3369,5608,-0.288306914771422,2573.1
125,2012-06-01 00:00:00,2755,2093,4558,-0.2465472446328456,2633.0
126,2012-06-08 00:00:00,2594,2024,4061,-0.2204357625845229,2524.33
127,2012-06-15 00:00:00,2806,2092,4414,-0.2227146814404432,2568.05
128,2012-06-22 00:00:00,3154,2114,4850,-0.21189405297351324,2456.52
129,2012-06-29 00:00:00,3446,2011,5462,-0.2263134261338123,2461.61
130,2012-07-06 00:00:00,3735,2161,6283,-0.25434218406867637,2472.61
131,2012-07-13 00:00:00,3933,2205,6562,-0.2505002382086708,2450.63
132,2012-07-20 00:00:00,3885,2360,6720,-0.26732673267326734,2398.46
133,2012-07-27 00:00:00,3965,2608,6616,-0.25054342689726866,2349.11
134,2012-08-03 00:00:00,3977,2895,6667,-0.25272453964674935,2353.74
135,2012-08-10 00:00:00,4107,3276,7227,-0.27527792482795127,2399.75
136,2012-08-17 00:00:00,4909,3903,8677,-0.27734432504048284,2313.48
137,2012-08-24 00:00:00,5598,4789,10908,-0.321701199563795,2275.68
138,2012-08-31 00:00:00,6108,5288,13178,-0.36658716167167893,2204.87
139,2012-09-07 00:00:00,6295,5140,13691,-0.37005904132893025,2317.18
